,Author,Number of Publications,Affliation
141,"LEE, CHIH-HAO",37,Harvard
142,"LEE, WEI-CHUNG",5,Harvard
143,"LERITZ, ELIZABETH",14,Harvard
144,"LESCHZINER, ANDRES",9,Harvard
145,"LIBERLES, STEPHEN",20,Harvard
146,"LICHTMAN, JEFF",66,Harvard
147,"LIN, XIHONG",111,Harvard
148,"LINDSTROEM, SARA",1,Harvard
149,"LIPSITCH, MARC",166,Harvard
150,"LIU, DAVID",142,Harvard
151,"LIVINGSTONE, MARGARET",47,Harvard
152,"LOK, JUDITH",14,Harvard
153,"LORY, STEPHEN",44,Harvard
154,"LOSICK, RICHARD",131,Harvard
155,"LU, QUAN",27,Harvard
156,"MAIR, WILLIAM",16,Harvard
157,"MANGO, SUSAN",9,Harvard
158,"MANNING, BRENDAN",67,Harvard
159,"MAROOF, ASIF",5,Harvard
160,"MARTI, MATTHIAS",32,Harvard
161,"MATHIS, DIANE",150,Harvard
162,"MATTEI, JOSIEMER",38,Harvard
163,"MAUNSELL, JOHN",23,Harvard
164,"MCCARLEY, ROBERT",185,Harvard
165,"MCCARROLL, STEVEN",68,Harvard
166,"MCGUIRE, THOMAS",57,Harvard
167,"MEGASON, SEAN",25,Harvard
168,"MEHROTRA, ATEEV",80,Harvard
169,"MEISSNER, ALEXANDER",74,Harvard
170,"MEKALANOS, JOHN",77,Harvard
171,"MELTON, DOUGLAS",70,Harvard
172,"MERKLE, FLORIAN",10,Harvard
173,"MILNER, DANNY",54,Harvard
174,"MITCHELL, JAMES",50,Harvard
175,"MITCHISON, TIMOTHY",131,Harvard
176,"MOAZED, DANESH",63,Harvard
177,"MOONEY, DAVID",209,Harvard
178,"MOSALIGANTI, KISHORE",9,Harvard
179,"MURANEN, TARU",20,Harvard
180,"MURRAY, MEGAN",109,Harvard
181,"MURTHY, VENKATESH",78,Harvard
182,"MUSUNURU, KIRAN",37,Harvard
183,"NABAVI, SHEIDA",5,Harvard
184,"NADLER, LEE",28,Harvard
185,"NGUYEN, ANDREW",3,Harvard
186,"NIZNIKIEWICZ, MARGARET",67,Harvard
187,"NOCERA, DANIEL",67,Harvard
188,"NORMAND, SHARON-LISE",145,Harvard
189,"OLSEN, BJORN",82,Harvard
190,"PAGANO, MARCELLO",37,Harvard
