"","Symbol","Date","Open","High","Low","Close","Adj.Close","Volume"
"1","AAPL","2018-01-17",176.149994,179.25,175.070007,179.100006,178.372757,34386800
"2","AAPL","2018-01-18",179.369995,180.100006,178.25,179.259995,178.532104,31193400
"3","AAPL","2018-01-19",178.610001,179.580002,177.410004,178.460007,177.735352,32425100
"4","AAPL","2018-01-22",177.300003,177.779999,176.600006,177,176.281281,27108600
"5","AAPL","2018-01-23",177.300003,179.440002,176.820007,177.039993,176.321106,32689100
"6","AAPL","2018-01-24",177.25,177.300003,173.199997,174.220001,173.512573,51105100
"7","AAPL","2018-01-25",174.509995,174.949997,170.529999,171.110001,170.415192,41529000
"8","AAPL","2018-01-26",172,172,170.059998,171.509995,170.813568,39143000
"9","AAPL","2018-01-29",170.160004,170.160004,167.070007,167.960007,167.278,50640400
"10","AAPL","2018-01-30",165.529999,167.369995,164.699997,166.970001,166.292007,46048200
"11","AAPL","2018-01-31",166.869995,168.440002,166.5,167.429993,166.750137,32478900
"12","AAPL","2018-02-01",167.169998,168.619995,166.759995,167.779999,167.098724,47230800
"13","AAPL","2018-02-02",166,166.800003,160.100006,160.5,159.848282,86593800
"14","AAPL","2018-02-05",159.100006,163.880005,156,156.490005,155.854568,72738500
"15","AAPL","2018-02-06",154.830002,163.720001,154,163.029999,162.368011,68243800
"16","AAPL","2018-02-07",163.089996,163.399994,159.070007,159.539993,158.892166,51608600
"17","AAPL","2018-02-08",160.289993,161,155.029999,155.149994,154.520004,54390500
"18","AAPL","2018-02-09",157.070007,157.889999,150.240005,156.410004,156.410004,70672600
"19","AAPL","2018-02-12",158.5,163.889999,157.509995,162.710007,162.710007,60819500
"20","AAPL","2018-02-13",161.949997,164.75,161.649994,164.339996,164.339996,32549200
"21","AAPL","2018-02-14",163.039993,167.539993,162.880005,167.369995,167.369995,40644900
"22","AAPL","2018-02-15",169.789993,173.089996,169,172.990005,172.990005,51147200
"23","AAPL","2018-02-16",172.360001,174.820007,171.770004,172.429993,172.429993,39963200
"24","ABBV","2018-01-17",103,104.839996,102.550003,104.360001,104.360001,5384900
"25","ABBV","2018-01-18",104.290001,104.849998,103.440002,103.809998,103.809998,6371200
"26","ABBV","2018-01-19",104.330002,104.870003,103.550003,104.639999,104.639999,4991300
"27","ABBV","2018-01-22",104.699997,106.540001,104.459999,106.489998,106.489998,4538100
"28","ABBV","2018-01-23",106.169998,106.970001,105.029999,105.379997,105.379997,5095300
"29","ABBV","2018-01-24",105.260002,106.230003,104.099998,105.510002,105.510002,4436500
"30","ABBV","2018-01-25",105.949997,108.370003,105.739998,108.300003,108.300003,6327500
"31","ABBV","2018-01-26",114.5,125.860001,113.5,123.209999,123.209999,19614500
"32","ABBV","2018-01-29",121.5,124.150002,118.980003,122.309998,122.309998,10182700
"33","ABBV","2018-01-30",119.419998,121.449997,115.870003,115.879997,115.879997,11851400
"34","ABBV","2018-01-31",116.209999,116.5,111.290001,112.220001,112.220001,15744800
"35","ABBV","2018-02-01",112.239998,117.529999,112.230003,116.339996,116.339996,9943500
"36","ABBV","2018-02-02",115.5,117.93,114.919998,115.169998,115.169998,7184400
"37","ABBV","2018-02-05",113,115.540001,109.400002,109.510002,109.510002,9827800
"38","ABBV","2018-02-06",104.910004,113.519997,101,111.199997,111.199997,14107800
"39","ABBV","2018-02-07",111.519997,116.849998,111.379997,113.620003,113.620003,10030800
"40","ABBV","2018-02-08",113.330002,114,108.32,108.480003,108.480003,7212400
"41","ABBV","2018-02-09",109.57,112.75,106.410004,111.300003,111.300003,8909300
"42","ABBV","2018-02-12",112.57,113.330002,110.650002,111.93,111.93,4823300
"43","ABBV","2018-02-13",111.540001,112.410004,110.389999,111.860001,111.860001,5316200
"44","ABBV","2018-02-14",111.040001,113.669998,110.279999,113.080002,113.080002,6189100
"45","ABBV","2018-02-15",113.620003,116.330002,112.379997,114.900002,114.900002,7401100
"46","ABBV","2018-02-16",115.230003,119.199997,115.199997,118.599998,118.599998,8717000
"47","ABT","2018-01-17",58.759998,59.099998,58.630001,58.990002,58.990002,5037500
"48","ABT","2018-01-18",58.779999,59.27,58.529999,59.07,59.07,5658600
"49","ABT","2018-01-19",59.23,59.68,58.959999,59.310001,59.310001,7362300
"50","ABT","2018-01-22",58.880001,59.57,58.450001,59.57,59.57,6841900
"51","ABT","2018-01-23",59.52,59.57,58.98,59.23,59.23,8122100
"52","ABT","2018-01-24",61,64.160004,60.740002,61.720001,61.720001,11704900
"53","ABT","2018-01-25",63.18,64.599998,62.32,63.220001,63.220001,15261900
"54","ABT","2018-01-26",63.150002,63.439999,62.669998,63.419998,63.419998,10242800
"55","ABT","2018-01-29",63.09,63.470001,62.849998,63.310001,63.310001,8638500
"56","ABT","2018-01-30",62.439999,63.119999,62.290001,62.439999,62.439999,6497600
"57","ABT","2018-01-31",62.66,62.759998,61.849998,62.16,62.16,7804400
"58","ABT","2018-02-01",61.75,62.540001,61.66,62.18,62.18,8101600
"59","ABT","2018-02-02",62.200001,62.419998,61.639999,61.689999,61.689999,12346500
"60","ABT","2018-02-05",61.599998,61.869999,58.549999,58.73,58.73,11548200
"61","ABT","2018-02-06",57.919998,59.259998,57.330002,58.860001,58.860001,15214700
"62","ABT","2018-02-07",58.599998,59.849998,58.5,58.669998,58.669998,6872700
"63","ABT","2018-02-08",58.77,58.830002,56.220001,56.27,56.27,6874500
"64","ABT","2018-02-09",56.630001,57.689999,55.580002,57.169998,57.169998,8028400
"65","ABT","2018-02-12",57.700001,57.98,56.880001,57.41,57.41,8234200
"66","ABT","2018-02-13",57.139999,57.790001,56.810001,57.639999,57.639999,5816600
"67","ABT","2018-02-14",57.32,58.400002,57.150002,58.279999,58.279999,3728900
"68","ABT","2018-02-15",58.720001,59.509998,58.330002,59.5,59.5,3871900
"69","ABT","2018-02-16",59.439999,60.540001,59.330002,60.169998,60.169998,7794200
"70","ACN","2018-01-17",159.100006,160.470001,158.809998,160.210007,160.210007,2143100
"71","ACN","2018-01-18",160.130005,161.080002,159.820007,160.940002,160.940002,1715500
"72","ACN","2018-01-19",161.600006,162.5,160.199997,161.75,161.75,2246700
"73","ACN","2018-01-22",161.210007,161.880005,160.820007,161.429993,161.429993,1720000
"74","ACN","2018-01-23",161.289993,162.050003,160.639999,160.880005,160.880005,1635800
"75","ACN","2018-01-24",161.199997,161.990005,160.539993,160.600006,160.600006,1951900
"76","ACN","2018-01-25",161.119995,161.75,160.619995,160.789993,160.789993,1327100
"77","ACN","2018-01-26",161.25,162.580002,160.330002,162.550003,162.550003,1950700
"78","ACN","2018-01-29",162.330002,162.600006,160.970001,161.190002,161.190002,1314800
"79","ACN","2018-01-30",160.960007,161.160004,159.110001,159.699997,159.699997,1700000
"80","ACN","2018-01-31",160.089996,160.949997,159.729996,160.699997,160.699997,1878300
"81","ACN","2018-02-01",160.160004,161.130005,159.539993,160.460007,160.460007,1692600
"82","ACN","2018-02-02",159.979996,160.270004,156.630005,156.899994,156.899994,2183600
"83","ACN","2018-02-05",156.119995,159.270004,150.729996,151.830002,151.830002,3733700
"84","ACN","2018-02-06",150.289993,155.179993,149.429993,154.690002,154.690002,4259600
"85","ACN","2018-02-07",154.220001,158.929993,153.070007,155.149994,155.149994,2918700
"86","ACN","2018-02-08",155.309998,155.470001,150.369995,150.509995,150.509995,2900900
"87","ACN","2018-02-09",151.690002,154.990005,148.789993,153.839996,153.839996,3656800
"88","ACN","2018-02-12",154.669998,156.470001,153.899994,154.949997,154.949997,2273700
"89","ACN","2018-02-13",154.199997,156.990005,153.990005,156.839996,156.839996,2059500
"90","ACN","2018-02-14",156.009995,160.119995,155.149994,159.789993,159.789993,2583200
"91","ACN","2018-02-15",160.389999,161.110001,158.110001,161.059998,161.059998,1854900
"92","ACN","2018-02-16",160.960007,163.600006,160.850006,162.660004,162.660004,1997900
"93","AGN","2018-01-17",179.449997,179.449997,176.330002,176.720001,176.720001,2220100
"94","AGN","2018-01-18",177.270004,179.949997,176.100006,179.639999,179.639999,2819400
"95","AGN","2018-01-19",180.869995,181.970001,179.119995,181.330002,181.330002,4043500
"96","AGN","2018-01-22",181,188.429993,180.729996,188.149994,188.149994,5269600
"97","AGN","2018-01-23",190.5,193.330002,186.300003,188.059998,188.059998,3845400
"98","AGN","2018-01-24",188.389999,189.880005,185.729996,186.720001,186.720001,2002000
"99","AGN","2018-01-25",186.979996,187.699997,184.139999,187.119995,187.119995,2004300
"100","AGN","2018-01-26",187.240005,187.419998,184.330002,186.929993,186.929993,1974700
"101","AGN","2018-01-29",189.940002,189.940002,187.009995,187.300003,187.300003,2731200
"102","AGN","2018-01-30",184.149994,186.130005,182.360001,184.380005,184.380005,2346800
"103","AGN","2018-01-31",184.339996,184.869995,179.630005,180.259995,180.259995,2933300
"104","AGN","2018-02-01",179.979996,180.949997,178.110001,178.539993,178.539993,2106500
"105","AGN","2018-02-02",177.740005,178.119995,172.300003,172.509995,172.509995,3388400
"106","AGN","2018-02-05",171.899994,172.429993,165,165,165,4653500
"107","AGN","2018-02-06",166.300003,175,160.300003,168.330002,168.330002,8286400
"108","AGN","2018-02-07",168.929993,172.979996,167.070007,170.389999,170.389999,3722700
"109","AGN","2018-02-08",170.639999,172.580002,164.110001,164.199997,164.199997,3622400
"110","AGN","2018-02-09",165.039993,166.580002,157.699997,162.770004,162.770004,4240800
"111","AGN","2018-02-12",164.039993,164.740005,160.270004,162.460007,162.460007,3066700
"112","AGN","2018-02-13",161.25,162.460007,156.110001,158.720001,158.720001,3247900
"113","AGN","2018-02-14",157.190002,167,156,166.630005,166.630005,4882200
"114","AGN","2018-02-15",168.139999,169.5,162.710007,164.470001,164.470001,3403900
