,Author,Number of Publications,Affliation
0,"CLAUS HENN, BIRGIT GUNHILD",0,Harvard
1,"SMITH FAWZI, MARY CATHERINE",1,Harvard
2,"TCHETGEN TCHETGEN, ERIC JOEL",0,Harvard
3,"VAN VACTOR, DAVID L.",3,Harvard
4,"VON ANDRIAN, ULRICH H",102,Harvard
